# FeHinit Minit FeH sigma_FeH FeH_low FeH_high sigma_FeH_low sigma_FeH_high
-5.0 6.127027000000002 -2.472169 0.673244 -2.544556 -2.3953040000000003 0.531808 0.820128
-5.0 6.177193 -2.4114679999999997 0.670249 -2.48418 -2.324772 0.5268679999999999 0.8022679999999999
-5.0 6.227119 -2.337912 0.6648100000000001 -2.4231800000000003 -2.2551 0.516136 0.8371359999999999
-5.0 6.2771159999999995 -2.266048 0.6554690000000001 -2.331264 -2.19374 0.513128 0.829644
-5.0 6.327123 -2.151782 0.650236 -2.2333879999999997 -2.05968 0.525424 0.785264
-5.0 6.377105000000001 -2.075651 0.6996359999999998 -2.165648 -1.985964 0.5313 0.879544
-5.0 6.427119 -1.9476419999999999 0.717341 -2.030128 -1.859876 0.555596 0.894644
-5.0 6.477248 -1.82526 0.691815 -1.884964 -1.761468 0.566392 0.850792
-5.0 6.52714 -1.751671 0.7358610000000002 -1.8150039999999998 -1.693612 0.587 0.9070759999999999
-5.0 6.577154 -1.6848349999999999 0.7607610000000001 -1.753736 -1.627192 0.6113040000000001 0.9127719999999999
-5.0 6.627163 -1.6183980000000002 0.7252249999999999 -1.6609479999999999 -1.575212 0.5959320000000001 0.820024
-5.0 6.677094 -1.5670109999999997 0.72149 -1.6086080000000003 -1.528684 0.6108520000000001 0.856004
-5.0 6.72718 -1.526961 0.719503 -1.558604 -1.489352 0.599384 0.8339319999999999
-5.0 6.777113999999999 -1.5001820000000001 0.736026 -1.545612 -1.454868 0.60442 0.8775679999999999
-5.0 6.827148000000001 -1.4624769999999998 0.714096 -1.5025080000000002 -1.4247880000000002 0.611404 0.8235480000000001
-5.0 6.877122000000002 -1.4392930000000002 0.7222750000000001 -1.487876 -1.397184 0.6006959999999999 0.8501960000000001
-5.0 6.927114000000001 -1.4188359999999998 0.7244100000000002 -1.465024 -1.3828360000000002 0.6130479999999999 0.861552
-5.0 6.977164 -1.40095 0.727917 -1.444108 -1.35874 0.6104200000000001 0.848232
-5.0 7.027112999999999 -1.380018 0.7268640000000001 -1.418812 -1.3407360000000001 0.62242 0.84222
-5.0 7.077171000000001 -1.364497 0.7162189999999999 -1.404596 -1.3216880000000002 0.603024 0.8175839999999999
-5.0 7.127134 -1.3501839999999998 0.702824 -1.384948 -1.3153519999999999 0.604224 0.8011600000000001
-5.0 7.177153 -1.3394409999999999 0.7093410000000001 -1.385112 -1.301584 0.6044080000000001 0.838832
-5.0 7.227098999999999 -1.322993 0.698051 -1.351216 -1.29034 0.619168 0.774044
-5.0 7.2771289999999995 -1.312734 0.690389 -1.33894 -1.286208 0.613276 0.766612
-5.0 7.327140999999998 -1.301887 0.6850539999999999 -1.3326639999999998 -1.268784 0.6033 0.7601279999999999
-5.0 7.3770940000000005 -1.3003009999999997 0.6904560000000001 -1.33756 -1.2692080000000001 0.609964 0.7977599999999999
-5.0 7.427147 -1.28587 0.6700610000000001 -1.313832 -1.2553 0.604388 0.75352
-4.0 3.9774789999999998 -4.0 0.0 -4.0 -4.0 0.0 0.0
-4.0 4.026254 -4.0 0.0 -4.0 -4.0 0.0 0.0
-4.0 4.076192000000001 -4.0 0.0 -4.0 -4.0 0.0 0.0
-4.0 4.12716 -3.9999939999999996 6e-06 -4.0 -4.0 0.0 0.0
-4.0 4.176555 -3.999975 2.7999999999999996e-05 -4.0 -4.0 0.0 0.0
-4.0 4.2265809999999995 -3.9999040000000003 0.00016 -4.0 -4.0 0.0 0.0
-4.0 4.277002 -3.9984539999999997 0.0019499999999999997 -4.0 -4.0 0.0 1.599999999999966e-05
-4.0 4.326422999999999 -3.9990229999999998 0.0019429999999999996 -4.0 -4.0 0.0 0.0
-4.0 4.376204 -3.9985370000000002 0.002535 -4.0 -4.0 0.0 0.0
-4.0 4.427269 -3.992197 0.010861 -4.0 -3.999536 0.0 0.0006319999999999992
-4.0 4.4760279999999995 -3.987348 0.020775000000000002 -4.0 -3.9995 0.0 0.0006159999999999996
-4.0 4.526928000000001 -3.990405 0.015203000000000001 -4.0 -3.9978759999999998 0.0 0.004947999999999982
-4.0 4.576662 -3.9741130000000005 0.039676 -4.0 -3.958592 0.0 0.099692
-4.0 4.626856 -3.972284 0.049126 -4.0 -3.9409959999999997 0.0 0.10621199999999992
-4.0 4.67789 -3.9602440000000003 0.066687 -4.0 -3.90892 0.0 0.17469599999999996
-4.0 4.726669 -3.9591900000000004 0.07500699999999999 -4.0 -3.887244 0.0 0.26854
-4.0 4.777557000000001 -3.935853 0.11303900000000003 -4.0 -3.834432 0.0 0.30038
-4.0 4.827124 -3.9349359999999995 0.11025099999999999 -4.0 -3.832216 0.0 0.31001999999999996
-4.0 4.876807 -3.9195420000000007 0.14573599999999998 -4.0 -3.83694 0.0 0.33392799999999995
-4.0 4.92768 -3.900097 0.16710700000000003 -3.9999 -3.794148 0.000184 0.369616
-4.0 4.976927 -3.8747770000000004 0.19881000000000001 -4.0 -3.7300079999999998 0.0 0.425184
-4.0 5.027191 -3.8355339999999996 0.248156 -3.98358 -3.682928 0.031352000000000005 0.449764
-4.0 5.077383 -3.8341209999999997 0.259972 -3.9792799999999997 -3.678116 0.032152 0.454044
-4.0 5.126765000000001 -3.7722339999999996 0.3273110000000001 -3.965292 -3.622104 0.0832 0.483476
-4.0 5.1772730000000005 -3.7362249999999992 0.36563599999999996 -3.8929839999999998 -3.60578 0.192676 0.5014639999999999
-4.0 5.227045 -3.6933659999999997 0.40417500000000006 -3.8536479999999997 -3.544284 0.276744 0.521124
-4.0 5.2770150000000005 -3.6236750000000004 0.45340400000000003 -3.794296 -3.471364 0.337136 0.550888
-4.0 5.327189999999999 -3.5918509999999997 0.461768 -3.774184 -3.4201319999999997 0.34860800000000003 0.5815840000000001
-4.0 5.376905000000001 -3.5227539999999995 0.497559 -3.689284 -3.3469680000000004 0.405328 0.5967000000000001
-4.0 5.427016 -3.439604 0.506149 -3.6356840000000004 -3.233588 0.409652 0.6090319999999999
-4.0 5.477240999999999 -3.4131839999999998 0.5462759999999999 -3.538472 -3.270504 0.477528 0.61338
-4.0 5.5269330000000005 -3.335638999999999 0.567017 -3.489776 -3.188672 0.494364 0.632348
-4.0 5.577589 -3.2514199999999995 0.582043 -3.4012320000000003 -3.1084840000000002 0.520616 0.6501480000000001
